Pair,F1,F2,Std_X,Std_Y,Correlation,Data_Density_X,Data_Density_Y,Sparse_Penalty,Fitness_Score
F9+F10,F9,F10,127.17777614436986,127.42752682848173,0.9002225901006936,0.46443999999999996,0.48307,0.5262450000000001,7675.941008184533
F2+F12,F2,F12,113.06810285165496,69.77980321817891,0.9585340614393028,1.0,1.0,0.0,7453.581565918942
F0+F11,F0,F11,75.15920689237551,120.19672756166517,0.8740710787047694,0.96165,0.33320000000000005,0.35257499999999997,6004.455756630176
F0+F7,F0,F7,75.15920689237551,75.21042847692013,0.8032522139699414,0.96165,0.94877,0.044789999999999996,5977.919702488443
F7+F11,F7,F11,75.21042847692013,120.19672756166517,0.8755953539058778,0.94877,0.33320000000000005,0.359015,5939.485820213424
F1+F11,F1,F11,74.22643506422575,120.19672756166517,0.9058695009549759,1.0,0.33320000000000005,0.3334,5912.551218860584
F0+F1,F0,F1,75.15920689237551,74.22643506422575,0.8264660615345458,0.96165,1.0,0.019175,5906.127301637506
F1+F7,F1,F7,74.22643506422575,75.21042847692013,0.8289541484385126,1.0,0.94877,0.025615,5855.621232522337
F8+F11,F8,F11,71.6483064983719,120.19672756166517,0.8829284039561249,1.0,0.33320000000000005,0.3334,5840.392004533845
F0+F8,F0,F8,75.15920689237551,71.6483064983719,0.8061800900236994,0.96165,1.0,0.019175,5828.61177549146
F3+F11,F3,F11,67.68969022873078,120.19672756166517,0.8030506480177673,0.95426,0.33320000000000005,0.35627,5799.717114890655
F7+F8,F7,F8,75.21042847692013,71.6483064983719,0.8078975418613178,0.94877,1.0,0.025615,5783.32690982138
F0+F3,F0,F3,75.15920689237551,67.68969022873078,0.7459001532626928,0.96165,0.95426,0.042045,5761.435710550106
F3+F7,F3,F7,67.68969022873078,75.21042847692013,0.7420991275558078,0.95426,0.94877,0.048485,5752.452101241021
F1+F3,F1,F3,74.22643506422575,67.68969022873078,0.7622860914713845,1.0,0.95426,0.02287,5693.536322915898
F1+F8,F1,F8,74.22643506422575,71.6483064983719,0.8344690520233424,1.0,1.0,0.0,5691.144461390147
F0+F6,F0,F6,75.15920689237551,71.96261775348044,0.6933170504802234,0.96165,0.69857,0.16988999999999999,5659.4991478258335
F2+F5,F2,F5,113.06810285165496,41.38011467068816,0.5875174015596697,1.0,0.65925,0.170375,5645.857738543204
F6+F7,F6,F7,71.96261775348044,75.21042847692013,0.6936142750095956,0.69857,0.94877,0.17633,5617.315192564389
F3+F8,F3,F8,67.68969022873078,71.6483064983719,0.7437090405549177,0.95426,1.0,0.02287,5616.788889005944
F1+F6,F1,F6,74.22643506422575,71.96261775348044,0.7132240151921458,1.0,0.69857,0.150715,5578.389238380734
F6+F8,F6,F8,71.96261775348044,71.6483064983719,0.6951255837779491,0.69857,1.0,0.150715,5507.196962089935
F3+F6,F3,F6,67.68969022873078,71.96261775348044,0.6430002457981264,0.95426,0.69857,0.173585,5417.9964186020825
F11+F12,F11,F12,120.19672756166517,69.77980321817891,0.9477768604396858,0.33320000000000005,1.0,0.3334,5336.037715004265
F0+F12,F0,F12,75.15920689237551,69.77980321817891,0.866378407603279,0.96165,1.0,0.019175,5322.997206656007
F7+F12,F7,F12,75.21042847692013,69.77980321817891,0.867246956070737,0.94877,1.0,0.025615,5286.8990908983915
F6+F11,F6,F11,71.96261775348044,120.19672756166517,0.7534192662570568,0.69857,0.33320000000000005,0.48411499999999996,5228.655812199525
F1+F12,F1,F12,74.22643506422575,69.77980321817891,0.8953843095289649,1.0,1.0,0.0,5203.523887994227
F8+F12,F8,F12,71.6483064983719,69.77980321817891,0.8729772068857777,1.0,1.0,0.0,5138.460277373267
F3+F12,F3,F12,67.68969022873078,69.77980321817891,0.7999934380939296,0.95426,1.0,0.02287,5128.203742558368
F6+F12,F6,F12,71.96261775348044,69.77980321817891,0.7468828240010946,0.69857,1.0,0.150715,5035.780854186065
F0+F5,F0,F5,75.15920689237551,41.38011467068816,0.5193878933906205,0.96165,0.65925,0.18955,4069.4657034400598
F5+F7,F5,F7,41.38011467068816,75.21042847692013,0.5230837407327407,0.65925,0.94877,0.19599,4015.9175196633837
F1+F5,F1,F5,74.22643506422575,41.38011467068816,0.5431830931021566,1.0,0.65925,0.170375,3961.8452084796572
F3+F5,F3,F5,67.68969022873078,41.38011467068816,0.4710202015599545,0.95426,0.65925,0.193245,3957.349515889141
F5+F8,F5,F8,41.38011467068816,71.6483064983719,0.5296900190996814,0.65925,1.0,0.170375,3906.1834950095376
F5+F6,F5,F6,41.38011467068816,71.96261775348044,0.44130158859547436,0.65925,0.69857,0.32109,3734.836091473182
F5+F11,F5,F11,41.38011467068816,120.19672756166517,0.5786223389150068,0.65925,0.33320000000000005,0.503775,3636.9289964320988
F5+F12,F5,F12,41.38011467068816,69.77980321817891,0.5682825986335374,0.65925,1.0,0.170375,3584.6198728804275
F4+F13,F4,F13,78.90696549843963,3.739751778037362,0.00013330688244525999,0.88953,0.90982,0.100325,2651.3387132095604
F10+F13,F10,F13,127.42752682848173,3.739751778037362,0.27117241567713085,0.48307,0.90982,0.303555,894.163963373297
F9+F13,F9,F13,127.17777614436986,3.739751778037362,0.29983314636481434,0.46443999999999996,0.90982,0.31287000000000004,817.3613912154262
F2+F13,F2,F13,113.06810285165496,3.739751778037362,0.6402252598295806,1.0,0.90982,0.04509,545.4832544267975
F0+F13,F0,F13,75.15920689237551,3.739751778037362,0.577920487025877,0.96165,0.90982,0.064265,387.97083659810943
F7+F13,F7,F13,75.21042847692013,3.739751778037362,0.5788861531066687,0.94877,0.90982,0.07070499999999999,385.0148583802303
F11+F13,F11,F13,120.19672756166517,3.739751778037362,0.6329609098451455,0.33320000000000005,0.90982,0.37849,381.155971724011
F1+F13,F1,F13,74.22643506422575,3.739751778037362,0.5980500752437391,1.0,0.90982,0.04509,379.73204077592163
F8+F13,F8,F13,71.6483064983719,3.739751778037362,0.5830976941156869,1.0,0.90982,0.04509,374.5659792624693
F3+F13,F3,F13,67.68969022873078,3.739751778037362,0.5330181705687161,0.95426,0.90982,0.06795999999999999,372.72084212517024
F6+F13,F6,F13,71.96261775348044,3.739751778037362,0.4980973700842761,0.69857,0.90982,0.19580499999999998,361.8588563444595
F12+F13,F12,F13,69.77980321817891,3.739751778037362,0.6265761721845043,1.0,0.90982,0.04509,342.96816346474674
F5+F13,F5,F13,41.38011467068816,3.739751778037362,0.38113597214842365,0.65925,0.90982,0.215465,252.33585351668472
